customer_id,age,plan_type,city,join_date
C00001,49,Bronze,Mumbai,2022-04-13
C00002,44,Gold,Mumbai,2020-02-03
C00003,43,Bronze,Hyderabad,2022-09-21
C00004,54,Bronze,Bangalore,2020-08-12
C00005,45,Gold,Mumbai,2021-11-21
C00006,19,Gold,Hyderabad,2022-07-17
C00007,37,Bronze,Mumbai,2021-01-03
C00008,21,Silver,Pune,2021-05-30
C00009,30,Bronze,Mumbai,2020-08-29
C00010,41,Bronze,Chennai,2021-05-08
C00011,55,Bronze,Chennai,2021-03-23
C00012,57,Bronze,Mumbai,2020-10-24
C00013,46,Gold,Delhi,2021-11-28
C00014,53,Bronze,Pune,2021-11-22
C00015,19,Silver,Bangalore,2021-10-07
C00016,58,Gold,Mumbai,2020-07-07
C00017,35,Silver,Bangalore,2021-02-24
C00018,25,Silver,Pune,2022-02-11
C00019,32,Silver,Mumbai,2020-02-27
C00020,58,Silver,Delhi,2022-02-18
C00021,34,Gold,Hyderabad,2020-07-30
C00022,40,Gold,Delhi,2021-07-24
C00023,19,Silver,Delhi,2020-07-14
C00024,23,Silver,Hyderabad,2021-03-12
C00025,46,Gold,Hyderabad,2021-05-18
C00026,44,Gold,Chennai,2021-02-25
C00027,54,Gold,Hyderabad,2020-11-30
C00028,51,Bronze,Mumbai,2021-07-24
C00029,35,Bronze,Bangalore,2022-03-11
C00030,59,Bronze,Chennai,2020-04-19
C00031,27,Silver,Chennai,2022-05-24
C00032,55,Bronze,Bangalore,2022-08-07
C00033,34,Silver,Chennai,2021-01-30
C00034,30,Silver,Hyderabad,2022-04-29
C00035,59,Bronze,Delhi,2021-06-26
C00036,44,Silver,Pune,2020-07-26
C00037,19,Bronze,Hyderabad,2020-02-29
C00038,51,Bronze,Delhi,2022-03-29
C00039,48,Gold,Delhi,2021-11-01
C00040,40,Bronze,Chennai,2020-03-27
C00041,24,Gold,Mumbai,2020-01-02
C00042,55,Bronze,Mumbai,2021-04-26
C00043,50,Bronze,Chennai,2021-02-11
C00044,29,Gold,Chennai,2021-10-22
C00045,29,Gold,Bangalore,2021-02-02
C00046,36,Bronze,Bangalore,2022-06-05
C00047,26,Silver,Pune,2021-06-25
C00048,27,Gold,Pune,2022-01-18
C00049,34,Silver,Pune,2021-02-17
C00050,57,Silver,Pune,2021-04-11
C00051,56,Silver,Delhi,2021-07-13
C00052,58,Gold,Delhi,2020-03-08
C00053,27,Silver,Bangalore,2021-10-28
C00054,29,Gold,Mumbai,2021-03-22
C00055,32,Silver,Chennai,2020-05-03
C00056,48,Bronze,Mumbai,2020-05-28
C00057,32,Bronze,Hyderabad,2022-03-25
C00058,45,Gold,Delhi,2022-03-30
C00059,21,Bronze,Pune,2022-08-29
C00060,53,Bronze,Pune,2020-10-08
C00061,18,Silver,Hyderabad,2021-01-01
C00062,51,Gold,Mumbai,2022-04-26
C00063,34,Silver,Pune,2020-06-03
C00064,56,Silver,Mumbai,2022-04-06
C00065,55,Silver,Chennai,2021-09-05
C00066,50,Silver,Hyderabad,2022-07-19
C00067,38,Silver,Mumbai,2020-11-08
C00068,43,Silver,Chennai,2020-12-01
C00069,53,Silver,Mumbai,2021-11-30
C00070,22,Gold,Mumbai,2020-07-09
C00071,50,Bronze,Pune,2020-02-12
C00072,18,Silver,Bangalore,2021-10-24
C00073,23,Silver,Delhi,2022-08-24
C00074,54,Silver,Mumbai,2020-02-10
C00075,19,Silver,Mumbai,2020-11-26
C00076,22,Silver,Mumbai,2020-06-26
C00077,43,Silver,Bangalore,2021-11-15
C00078,58,Bronze,Chennai,2020-02-06
C00079,30,Bronze,Hyderabad,2020-11-24
C00080,29,Silver,Pune,2022-07-18
C00081,22,Bronze,Bangalore,2021-09-06
C00082,19,Gold,Chennai,2021-04-25
C00083,21,Silver,Mumbai,2020-09-24
C00084,44,Gold,Chennai,2020-10-01
C00085,27,Gold,Bangalore,2020-06-09
C00086,30,Silver,Bangalore,2022-03-09
C00087,19,Bronze,Bangalore,2020-04-21
