customer_id,date,calls_made,data_used_gb
C00001,2023-01-01,18,7.9
C00001,2023-01-31,8,8.83
C00001,2023-03-02,14,1.84
C00001,2023-04-01,14,7.26
C00001,2023-05-01,11,3.49
C00001,2023-05-31,10,0.59
C00001,2023-06-30,10,6.43
C00001,2023-07-30,9,6.65
C00001,2023-08-29,12,4.01
C00001,2023-09-28,7,3.78
C00001,2023-10-28,13,4.07
C00001,2023-11-27,14,2.51
C00002,2023-01-01,17,9.07
C00002,2023-01-31,8,6.25
C00002,2023-03-02,17,7.75
C00002,2023-04-01,14,5.05
C00002,2023-05-01,12,7.91
C00002,2023-05-31,18,9.74
C00002,2023-06-30,4,8.99
C00002,2023-07-30,17,3.9
C00002,2023-08-29,16,3.04
C00002,2023-09-28,15,3.76
C00002,2023-10-28,14,9.93
C00002,2023-11-27,12,8.82
C00003,2023-01-01,10,1.88
C00003,2023-01-31,18,6.4
C00003,2023-03-02,13,5.94
C00003,2023-04-01,9,1.31
C00003,2023-05-01,9,6.46
C00003,2023-05-31,15,1.42
C00003,2023-06-30,23,6.46
C00003,2023-07-30,13,8.45
C00003,2023-08-29,8,9.13
C00003,2023-09-28,13,6.01
C00003,2023-10-28,8,1.61
C00003,2023-11-27,13,7.52
C00004,2023-01-01,11,9.03
C00004,2023-01-31,11,9.64
C00004,2023-03-02,11,6.05
C00004,2023-04-01,9,7.4
C00004,2023-05-01,9,9.99
C00004,2023-05-31,13,3.19
C00004,2023-06-30,13,0.85
C00004,2023-07-30,15,3.44
C00004,2023-08-29,5,3.12
C00004,2023-09-28,11,2.17
C00004,2023-10-28,9,3.63
C00004,2023-11-27,12,4.32
C00005,2023-01-01,15,9.0
C00005,2023-01-31,8,2.0
C00005,2023-03-02,8,4.77
C00005,2023-04-01,14,5.23
C00005,2023-05-01,10,0.92
C00005,2023-05-31,9,6.07
C00005,2023-06-30,9,6.05
C00005,2023-07-30,11,5.17
C00005,2023-08-29,10,7.87
C00005,2023-09-28,8,3.8
C00005,2023-10-28,11,3.37
C00005,2023-11-27,17,8.91
C00006,2023-01-01,14,5.43
C00006,2023-01-31,16,9.12
C00006,2023-03-02,13,9.83
C00006,2023-04-01,16,3.1
C00006,2023-05-01,8,5.86
C00006,2023-05-31,9,4.39
C00006,2023-06-30,12,0.89
C00006,2023-07-30,11,8.8
C00006,2023-08-29,7,3.0
C00006,2023-09-28,11,3.84
C00006,2023-10-28,10,9.62
C00006,2023-11-27,11,4.81
C00007,2023-01-01,9,0.77
C00007,2023-01-31,14,1.87
C00007,2023-03-02,8,3.47
C00007,2023-04-01,9,7.78
C00007,2023-05-01,12,2.8
C00007,2023-05-31,15,4.9
C00007,2023-06-30,10,4.91
C00007,2023-07-30,10,6.15
C00007,2023-08-29,12,9.91
C00007,2023-09-28,8,8.02
C00007,2023-10-28,12,6.6
C00007,2023-11-27,12,7.64
C00008,2023-01-01,13,7.15
C00008,2023-01-31,14,1.36
C00008,2023-03-02,10,5.04
C00008,2023-04-01,17,3.03
C00008,2023-05-01,15,0.6
C00008,2023-05-31,13,7.88
C00008,2023-06-30,15,8.89
C00008,2023-07-30,10,3.69
C00008,2023-08-29,13,3.53
C00008,2023-09-28,10,3.23
C00008,2023-10-28,4,1.5
C00008,2023-11-27,16,6.81
C00009,2023-01-01,18,8.14
C00009,2023-01-31,14,7.78
C00009,2023-03-02,9,9.62
C00009,2023-04-01,13,6.75
C00009,2023-05-01,16,0.81
C00009,2023-05-31,13,2.86
C00009,2023-06-30,18,5.71
C00009,2023-07-30,8,3.42
C00009,2023-08-29,9,3.66
C00009,2023-09-28,10,9.07
C00009,2023-10-28,14,0.87
C00009,2023-11-27,10,7.61
C00010,2023-01-01,13,1.92
C00010,2023-01-31,8,2.46
C00010,2023-03-02,23,6.45
C00010,2023-04-01,12,8.93
C00010,2023-05-01,8,1.82
C00010,2023-05-31,9,8.69
C00010,2023-06-30,10,4.9
C00010,2023-07-30,14,1.98
C00010,2023-08-29,17,7.85
C00010,2023-09-28,13,7.32
C00010,2023-10-28,10,0.62
C00010,2023-11-27,12,4.57
C00011,2023-01-01,12,0.71
C00011,2023-01-31,13,4.6
C00011,2023-03-02,17,3.45
C00011,2023-04-01,9,8.13
C00011,2023-05-01,11,2.5
C00011,2023-05-31,15,2.62
C00011,2023-06-30,11,2.52
C00011,2023-07-30,13,8.74
C00011,2023-08-29,13,4.45
C00011,2023-09-28,8,9.02
C00011,2023-10-28,9,5.32
C00011,2023-11-27,9,5.61
C00012,2023-01-01,8,1.69
C00012,2023-01-31,14,2.59
C00012,2023-03-02,12,9.27
C00012,2023-04-01,10,5.23
C00012,2023-05-01,16,2.17
C00012,2023-05-31,16,7.59
C00012,2023-06-30,10,9.12
C00012,2023-07-30,16,5.95
C00012,2023-08-29,7,6.82
C00012,2023-09-28,9,9.56
C00012,2023-10-28,15,7.43
C00012,2023-11-27,9,8.95
C00013,2023-01-01,9,8.47
C00013,2023-01-31,14,5.2
C00013,2023-03-02,12,8.1
C00013,2023-04-01,11,2.32
C00013,2023-05-01,10,1.86
C00013,2023-05-31,17,1.41
C00013,2023-06-30,19,1.46
C00013,2023-07-30,23,7.78
